Characteristic,TotalCivilian ,TotalEmpLaidOff,PercentEmpLaidOff,ReceivedPay,NotReceivedPay,TotalUnableToWork,ReceivedPay.1,NotReceivedPay.1,PredictedEmpLaidOff_LR,PredictedEmpLaidOff_Ridge,PredictedEmpLaidOff_Lasso,PredictedEmpLaidOff_Elastic,PredictedEmpLaidOff_DT,PredictedEmpLaidOff_RF
    Construction and extraction occupations,8066.862068965517,466.3448275862069,6.048275862068966,63.61114798712289,418.55172413793105,100.0,10.078417874147204,91.8103448275862,476.0,476.0,476.0,476.0,477.0,466.0
    Education and health services,34618.41379310345,1247.8275862068965,3.6862068965517243,341.2413793103448,906.5862068965517,100.0,25.079310344827583,74.92068965517241,1228.0,1228.0,1227.0,1227.0,1281.0,1208.0
"    Farming, fishing, and forestry occupations",1028.7241379310344,91.37399291008701,3.6654076699967773,61.160416182669,77.60967971070644,100.0,17.352035369045876,82.69674078336267,121.0,121.0,121.0,121.0,77.0,90.0
    Financial activities,10759.827586206897,310.13793103448273,2.913793103448276,56.58620689655172,253.6206896551724,100.0,19.340486839664443,80.66514117792116,310.0,310.0,310.0,310.0,303.0,302.0
    Food preparation and serving related occupations,7222.448275862069,541.8275862068965,8.63448275862069,52.48275862068966,489.37931034482756,100.0,10.204557165529605,89.80294685791786,539.0,539.0,539.0,539.0,477.0,549.0
    Full-time workers,127374.24137931035,4518.241379310345,3.6689655172413795,929.5172413793103,3588.689655172414,100.0,21.2448275862069,78.7551724137931,4527.0,4527.0,4527.0,4527.0,4518.0,4561.0
    Government,20750.206896551725,524.5172413793103,2.5586206896551724,232.75862068965517,291.7586206896552,100.0,40.7261392913824,59.275736714479464,505.0,505.0,505.0,505.0,477.0,498.0
    Healthcare support occupations,4849.206896551724,221.89655172413794,4.748275862068965,36.215210248581194,191.0344827586207,100.0,13.472075767256833,86.5373042620525,222.0,222.0,222.0,222.0,221.0,231.0
    Information,2678.9655172413795,116.24137931034483,4.482758620689655,33.12007566957618,93.55172413793103,100.0,17.972846631077754,82.05341745098838,119.0,119.0,119.0,119.0,140.0,113.0
"    Installation, maintenance, and repair occupations",4769.9655172413795,162.41379310344828,3.53103448275862,39.56835153164515,133.3793103448276,100.0,19.534361151761228,80.48815091858117,166.0,166.0,166.0,166.0,140.0,167.0
    Leisure and hospitality,12493.48275862069,979.7241379310345,8.810344827586206,95.13793103448276,884.6206896551724,100.0,9.96896551724138,90.03103448275863,974.0,974.0,974.0,974.0,980.0,1060.0
"    Management, business, and financial operations occupations",28045.103448275862,987.3793103448276,3.6,197.44827586206895,789.9310344827586,100.0,21.16896551724138,78.83103448275861,986.0,986.0,986.0,986.0,987.0,951.0
    Manufacturing,14813.586206896553,458.6896551724138,3.1724137931034484,105.58620689655173,353.0344827586207,100.0,23.974415153451368,76.0274608524105,455.0,455.0,455.0,455.0,477.0,461.0
"    Mining, quarrying, and oil and gas extraction",609.0344827586207,75.37399291008701,3.261959394134708,48.238923367959906,105.59866976624048,100.0,19.371278108704136,80.68282232542835,137.0,137.0,137.0,137.0,140.0,90.0
    Office and administrative support occupations,15836.620689655172,477.0344827586207,3.089655172413793,112.3103448275862,364.82758620689657,100.0,23.573522682770985,76.4339813406765,474.0,474.0,474.0,474.0,477.0,472.0
    Other services,7125.9655172413795,554.2068965517242,8.217241379310344,59.793103448275865,494.48275862068965,100.0,11.451724137931036,88.54827586206896,549.0,549.0,549.0,549.0,477.0,555.0
    Part-time workers,25168.172413793105,1954.4137931034484,8.089655172413792,191.3448275862069,1763.1724137931035,100.0,9.12758620689655,90.87241379310345,1945.0,1945.0,1945.0,1945.0,1870.0,1876.0
    Personal care and service occupations,3639.310344827586,392.1034482758621,11.841379310344827,34.42210680030533,362.82758620689657,100.0,8.306004081043755,92.32733549792445,395.0,395.0,395.0,395.0,382.0,411.0
    Private industries,115634.55172413793,4155.379310344828,3.7551724137931037,778.7931034482758,3376.5862068965516,100.0,20.051724137931036,79.94827586206897,4175.0,4175.0,4175.0,4175.0,4155.0,4304.0
    Production occupations,7931.827586206897,288.41379310344826,3.8379310344827586,52.172413793103445,236.20689655172413,100.0,17.018904713811647,82.99235132135955,284.0,284.0,284.0,284.0,303.0,293.0
    Professional and business services,19549.41379310345,865.7586206896551,4.568965517241379,123.6896551724138,742.0689655172414,100.0,15.889655172413793,84.1103448275862,865.0,865.0,865.0,865.0,772.0,879.0
    Professional and related occupations,37176.96551724138,1314.4137931034484,3.596551724137931,340.0,974.4137931034483,100.0,24.768965517241377,75.23103448275862,1299.0,1299.0,1299.0,1299.0,1281.0,1287.0
    Protective service occupations,3029.9310344827586,93.82758620689656,3.1310344827586207,23.17241379310345,70.65517241379311,100.0,19.9394727621246,80.094295343389,87.0,87.0,87.0,87.0,77.0,98.0
    Public administration,7498.241379310345,158.55172413793105,2.1206896551724137,62.10344827586207,96.58620689655173,100.0,26.963948719005696,73.06043935719858,151.0,151.0,151.0,151.0,140.0,152.0
"    Self-employed workers, incorporated",6286.3448275862065,634.5862068965517,10.241379310344827,57.41379310344828,577.2068965517242,100.0,9.658620689655173,90.34137931034483,629.0,629.0,629.0,629.0,650.0,645.0
"    Self-employed workers, unincorporated",9771.413793103447,1151.8620689655172,12.113793103448277,51.89655172413793,1099.9310344827586,100.0,4.924137931034483,95.0758620689655,1152.0,1152.0,1152.0,1152.0,1154.0,1175.0
    Transportation and material moving occupations,11247.0,453.13793103448273,4.293103448275862,76.06896551724138,377.2068965517241,100.0,18.274415153451365,81.7274608524105,450.0,450.0,450.0,450.0,477.0,449.0
    Transportation and utilities,9329.620689655172,355.6896551724138,4.113793103448276,60.62068965517241,295.0689655172414,100.0,18.339039924150295,81.66846409929717,352.0,352.0,352.0,352.0,477.0,383.0
    Wholesale and retail trade,19423.51724137931,723.2758620689655,3.8379310344827586,112.62068965517241,610.4827586206897,100.0,16.982758620689655,83.01724137931035,725.0,725.0,725.0,725.0,772.0,738.0
     Sales and related occupations,14291.931034482759,678.4137931034483,4.8517241379310345,88.86206896551724,589.551724137931,100.0,15.1,84.89999999999999,677.0,677.0,677.0,677.0,650.0,672.0
       Accommodation and food services,9586.655172413793,703.0,8.23448275862069,62.275862068965516,640.6896551724138,100.0,9.972413793103447,90.02758620689656,701.0,701.0,700.0,701.0,650.0,701.0
       Architecture and engineering occupations,3278.310344827586,75.82758620689656,2.389655172413793,26.146244731339813,54.89655172413793,100.0,19.798647896613538,80.2388722206238,74.0,74.0,74.0,74.0,77.0,87.0
"       Arts, design, entertainment, sports, and media occupations",3164.9310344827586,285.82758620689657,9.441379310344828,36.801417145132916,254.17241379310346,100.0,11.48731578621926,88.52018823722821,286.0,286.0,286.0,286.0,303.0,280.0
"       Arts, entertainment, and recreation",2907.0344827586205,276.8965517241379,10.786206896551725,43.36145497992101,244.0,100.0,12.022352989673717,88.61661460688009,282.0,282.0,282.0,282.0,303.0,276.0
       Business and financial operations occupations,8815.655172413793,234.9655172413793,2.737931034482759,55.58620689655172,179.3793103448276,100.0,22.262285384504395,77.74739838066661,231.0,231.0,231.0,231.0,221.0,243.0
       Community and social services occupations,2803.5862068965516,89.89655172413794,3.262068965517241,41.18904118681756,59.241379310344826,100.0,24.42912793453839,75.60464017097522,90.0,90.0,90.0,90.0,77.0,87.0
       Computer and mathematical occupations,5782.0344827586205,101.17241379310344,1.7793103448275862,30.93103448275862,70.27586206896552,100.0,21.608438279365977,78.42532982614763,97.0,97.0,97.0,97.0,77.0,113.0
       Durable goods manufacturing,9339.827586206897,294.0344827586207,3.262068965517241,69.62068965517241,224.48275862068965,100.0,22.40511161036337,77.60614442480784,289.0,289.0,289.0,289.0,303.0,300.0
"       Education, training, and library occupations",8951.48275862069,341.2413793103448,3.910344827586207,131.3448275862069,209.86206896551724,100.0,29.427802625883704,70.58532941514936,323.0,323.0,323.0,323.0,303.0,322.0
       Educational services,13471.896551724138,471.6896551724138,3.579310344827586,188.06896551724137,283.58620689655174,100.0,32.080419234495125,67.92708478895234,449.0,449.0,449.0,449.0,477.0,445.0
       Federal,3903.5862068965516,79.0,2.013793103448276,41.56003783478809,42.689655172413794,100.0,27.408992724199745,72.62852739303759,75.0,75.0,75.0,75.0,77.0,91.0
       Finance and insurance,7588.103448275862,146.27586206896552,1.9344827586206896,41.51724137931034,104.82758620689656,100.0,23.474293546591902,76.55009452961238,143.0,143.0,143.0,143.0,140.0,148.0
       Health care and social assistance,21146.620689655174,776.1724137931035,3.7448275862068963,153.10344827586206,622.9655172413793,100.0,19.78965517241379,80.2103448275862,772.0,772.0,772.0,772.0,772.0,765.0
       Healthcare practitioners and technical occupations,9663.379310344828,298.6551724137931,3.1241379310344826,62.44827586206897,236.10344827586206,100.0,19.30800544139167,80.6994985820558,295.0,295.0,295.0,295.0,303.0,300.0
       Legal occupations,1839.0689655172414,75.6896551724138,4.0793103448275865,25.008313696857055,55.689655172413794,100.0,20.59954036729392,79.43235173235782,73.0,73.0,73.0,73.0,77.0,76.0
"       Life, physical, and social science occupations",1693.9655172413793,46.06896551724138,2.7793103448275867,38.28294779463012,33.89655172413793,100.0,19.490858874209014,80.55228926061393,60.0,60.0,60.0,60.0,77.0,59.0
       Local,9886.551724137931,265.2758620689655,2.7448275862068963,118.13793103448276,147.27586206896552,100.0,32.73525362244161,67.28163043031519,251.0,251.0,251.0,251.0,221.0,239.0
       Management occupations,19229.44827586207,752.4827586206897,4.006896551724138,142.0,610.6206896551724,100.0,20.21379310344828,79.78620689655173,748.0,748.0,748.0,748.0,772.0,748.0
"       Management, administrative, and waste services",6514.0,393.9655172413793,6.327586206896552,40.93103448275862,353.0,100.0,11.077863429313437,88.92401257654844,391.0,391.0,391.0,391.0,382.0,397.0
       Nondurable goods manufacturing,5473.862068965517,164.55172413793105,3.0448275862068965,35.86206896551724,128.58620689655172,100.0,21.204773584516754,78.81586247996378,159.0,159.0,159.0,159.0,140.0,168.0
"       Other services, except private households",6480.620689655172,502.41379310344826,8.224137931034482,56.41379310344828,445.9655172413793,100.0,11.736484118968608,88.26539188689325,497.0,497.0,497.0,497.0,477.0,495.0
       Private households,645.4827586206897,51.6551724137931,8.348275862068965,71.17704357638313,48.44827586206897,100.0,14.964719582826616,85.07655254613447,104.0,104.0,103.0,104.0,77.0,63.0
       Professional and technical services,13035.413793103447,471.7586206896552,3.7103448275862068,82.86206896551724,389.0689655172414,100.0,20.0,80.0,470.0,470.0,470.0,470.0,477.0,466.0
       Real estate and rental and leasing,3171.689655172414,163.79310344827587,5.348275862068966,20.35314128306395,148.72413793103448,100.0,12.665395634519847,87.35711643582256,165.0,165.0,165.0,165.0,221.0,179.0
       Retail trade,16086.413793103447,603.6206896551724,3.9,89.48275862068965,514.0,100.0,16.488208256899643,83.51366774896222,605.0,605.0,605.0,605.0,650.0,579.0
       State,6960.172413793103,180.13793103448276,2.603448275862069,83.42210680030533,101.96551724137932,100.0,31.963394274171925,68.05724179030861,173.0,173.0,173.0,173.0,140.0,172.0
       Transportation and warehousing,7956.620689655172,332.7241379310345,4.572413793103448,52.41379310344828,280.2068965517241,100.0,16.5203516293258,83.48902839998354,329.0,329.0,329.0,329.0,303.0,357.0
       Utilities,1372.8620689655172,79.68433773767322,1.9895456010312598,44.609920015930435,108.35729045589565,100.0,20.191413319042784,79.85548682750388,137.0,137.0,138.0,138.0,140.0,93.0
       Wholesale trade,3337.137931034483,119.62068965517241,3.586206896551724,28.284175765822575,96.55172413793103,100.0,18.774847991425673,81.25329209650235,118.0,118.0,118.0,118.0,140.0,121.0
           Hospitals,7348.551724137931,155.89655172413794,2.1517241379310343,46.241379310344826,109.58620689655173,100.0,21.960500443143626,78.06388763306065,151.0,151.0,151.0,151.0,140.0,156.0
"           Health services, except hospitals",10565.206896551725,441.62068965517244,4.289655172413793,71.6896551724138,369.8965517241379,100.0,16.422691015520332,83.57918499034153,438.0,438.0,438.0,438.0,477.0,444.0
           Social assistance,3232.655172413793,178.6206896551724,5.69655172413793,40.284175765822575,143.6206896551724,100.0,18.52401632417502,81.49849574616738,176.0,176.0,176.0,176.0,140.0,179.0
